campaign_id,domain,dns_status,verified_via,verified_date
170,birikm-fonculuk.com,NXDOMAIN,google_8.8.8.8+cloudflare_1.1.1.1+quad9_9.9.9.9_all_NXDOMAIN,2026-08-27
171,acopiencia.org,NXDOMAIN,google_8.8.8.8+cloudflare_1.1.1.1+quad9_9.9.9.9_all_NXDOMAIN,2026-08-27
172,thrive-guardford.org,NXDOMAIN,google_8.8.8.8+cloudflare_1.1.1.1+quad9_9.9.9.9_all_NXDOMAIN,2026-08-27
173,gotowka-prowadzin.org,NXDOMAIN,google_8.8.8.8+cloudflare_1.1.1.1+quad9_9.9.9.9_all_NXDOMAIN,2026-08-27
174,stream-avonex-500.com,NXDOMAIN,google_8.8.8.8+cloudflare_1.1.1.1+quad9_9.9.9.9_all_NXDOMAIN,2026-08-27
175,zirvenexute.com,NXDOMAIN,google_8.8.8.8+cloudflare_1.1.1.1+quad9_9.9.9.9_all_NXDOMAIN,2026-08-27
176,vale-vaultshire.org,NXDOMAIN,google_8.8.8.8+cloudflare_1.1.1.1+quad9_9.9.9.9_all_NXDOMAIN,2026-08-27
177,cofano-lucriaria.org,NXDOMAIN,google_8.8.8.8+cloudflare_1.1.1.1+quad9_9.9.9.9_all_NXDOMAIN,2026-08-27
178,vrenkapstead.org,NXDOMAIN,google_8.8.8.8+cloudflare_1.1.1.1+quad9_9.9.9.9_all_NXDOMAIN,2026-08-27
179,fruit-avoirance.org,NXDOMAIN,google_8.8.8.8+cloudflare_1.1.1.1+quad9_9.9.9.9_all_NXDOMAIN,2026-08-27
180,cofanolucriaria.org,NXDOMAIN,google_8.8.8.8+cloudflare_1.1.1.1+quad9_9.9.9.9_all_NXDOMAIN,2026-08-27
181,palitorexio.org,NXDOMAIN,google_8.8.8.8+cloudflare_1.1.1.1+quad9_9.9.9.9_all_NXDOMAIN,2026-08-27
182,palitorexio-official.com,NXDOMAIN,google_8.8.8.8+cloudflare_1.1.1.1+quad9_9.9.9.9_all_NXDOMAIN,2026-08-27
183,coffrencia.org,NXDOMAIN,google_8.8.8.8+cloudflare_1.1.1.1+quad9_9.9.9.9_all_NXDOMAIN,2026-08-27
184,ganan-carterio.org,NXDOMAIN,google_8.8.8.8+cloudflare_1.1.1.1+quad9_9.9.9.9_all_NXDOMAIN,2026-08-27
185,command-placance.com,NXDOMAIN,google_8.8.8.8+cloudflare_1.1.1.1+quad9_9.9.9.9_all_NXDOMAIN,2026-08-27
186,juste-devisencal.org,NXDOMAIN,google_8.8.8.8+cloudflare_1.1.1.1+quad9_9.9.9.9_all_NXDOMAIN,2026-08-27
188,operace-urokez.org,NXDOMAIN,google_8.8.8.8+cloudflare_1.1.1.1+quad9_9.9.9.9_all_NXDOMAIN,2026-08-27
189,operaceurokez-cz.com,NXDOMAIN,google_8.8.8.8+cloudflare_1.1.1.1+quad9_9.9.9.9_all_NXDOMAIN,2026-08-27
190,ziskportfolin.com,NXDOMAIN,google_8.8.8.8+cloudflare_1.1.1.1+quad9_9.9.9.9_all_NXDOMAIN,2026-08-27
191,zyskopol.org,NXDOMAIN,google_8.8.8.8+cloudflare_1.1.1.1+quad9_9.9.9.9_all_NXDOMAIN,2026-08-27
192,lumiar-bitrow.org,NXDOMAIN,google_8.8.8.8+cloudflare_1.1.1.1+quad9_9.9.9.9_all_NXDOMAIN,2026-08-27
193,lumiarbitrow.org,NXDOMAIN,google_8.8.8.8+cloudflare_1.1.1.1+quad9_9.9.9.9_all_NXDOMAIN,2026-08-27
